city_id,home_based_status,sector_id,total_number_of_jobs,year
-1,1,1,806,2000
-1,1,1,799,2001
-1,1,1,744,2002
-1,1,1,702,2003
-1,1,1,718,2004
-1,1,1,706,2005
-1,1,1,671,2006
-1,1,1,662,2007
-1,1,1,631,2008
-1,1,1,575,2009
-1,1,1,567,2010
-1,1,1,513,2011
-1,1,1,535,2012
-1,1,1,476,2013
-1,1,1,478,2014
-1,1,1,725,2016
-1,1,1,399,2017
-1,1,1,399,2018
-1,1,1,359,2019
-1,1,1,319,2021
-1,1,1,319,2022
-1,1,1,319,2023
-1,1,1,319,2024
-1,1,1,279,2026
-1,1,1,279,2027
-1,1,1,279,2028
-1,1,1,279,2029
-1,1,1,279,2031
-1,1,1,279,2032
-1,1,1,279,2033
-1,1,1,239,2034
-1,1,1,239,2036
-1,1,1,239,2037
-1,1,1,239,2038
-1,1,1,239,2039
-1,1,2,4199,2000
-1,1,2,4155,2001
-1,1,2,3846,2002
-1,1,2,3800,2003
-1,1,2,4085,2004
-1,1,2,4339,2005
-1,1,2,4838,2006
-1,1,2,5293,2007
-1,1,2,5344,2008
-1,1,2,4288,2009
-1,1,2,3528,2010
-1,1,2,3347,2011
-1,1,2,3441,2012
-1,1,2,3679,2013
-1,1,2,4350,2014
-1,1,2,4575,2016
-1,1,2,4558,2017
-1,1,2,4497,2018
-1,1,2,4407,2019
-1,1,2,4255,2021
-1,1,2,4203,2022
-1,1,2,4212,2023
-1,1,2,4225,2024
-1,1,2,4212,2026
-1,1,2,4181,2027
-1,1,2,4181,2028
-1,1,2,4207,2029
-1,1,2,4251,2031
-1,1,2,4316,2032
-1,1,2,4398,2033
-1,1,2,4467,2034
-1,1,2,4567,2036
-1,1,2,4645,2037
-1,1,2,4775,2038
-1,1,2,4917,2039
-1,1,3,3245,2000
-1,1,3,3113,2001
-1,1,3,2817,2002
-1,1,3,2459,2003
-1,1,3,2219,2004
-1,1,3,2361,2005
-1,1,3,2581,2006
-1,1,3,2818,2007
-1,1,3,2976,2008
-1,1,3,3009,2009
-1,1,3,2851,2010
-1,1,3,2930,2011
-1,1,3,3327,2012
-1,1,3,3390,2013
-1,1,3,3496,2014
-1,1,3,3133,2016
-1,1,3,3435,2017
-1,1,3,3414,2018
-1,1,3,3388,2019
-1,1,3,3339,2021
-1,1,3,3311,2022
-1,1,3,3293,2023
-1,1,3,3273,2024
-1,1,3,3232,2026
-1,1,3,3204,2027
-1,1,3,3178,2028
-1,1,3,3155,2029
-1,1,3,3118,2031
-1,1,3,3102,2032
-1,1,3,3090,2033
-1,1,3,3078,2034
-1,1,3,3058,2036
-1,1,3,3049,2037
-1,1,3,3038,2038
-1,1,3,3029,2039
-1,1,4,3894,2000
-1,1,4,3590,2001
-1,1,4,3346,2002
-1,1,4,3085,2003
-1,1,4,3087,2004
-1,1,4,2532,2005
-1,1,4,2654,2006
-1,1,4,2624,2007
-1,1,4,2566,2008
-1,1,4,2195,2009
-1,1,4,1982,2010
-1,1,4,2067,2011
-1,1,4,2234,2012
-1,1,4,2186,2013
-1,1,4,2287,2014
-1,1,4,2337,2016
-1,1,4,2473,2017
-1,1,4,2514,2018
-1,1,4,2502,2019
-1,1,4,2511,2021
-1,1,4,2511,2022
-1,1,4,2505,2023
-1,1,4,2489,2024
-1,1,4,2406,2026
-1,1,4,2316,2027
-1,1,4,2243,2028
-1,1,4,2195,2029
-1,1,4,2153,2031
-1,1,4,2169,2032
-1,1,4,2214,2033
-1,1,4,2268,2034
-1,1,4,2374,2036
-1,1,4,2422,2037
-1,1,4,2486,2038
-1,1,4,2562,2039
-1,1,5,852,2000
-1,1,5,774,2001
-1,1,5,714,2002
-1,1,5,708,2003
-1,1,5,702,2004
-1,1,5,1403,2005
-1,1,5,1395,2006
-1,1,5,1401,2007
-1,1,5,1360,2008
-1,1,5,1217,2009
-1,1,5,1150,2010
-1,1,5,1171,2011
-1,1,5,1210,2012
-1,1,5,1189,2013
-1,1,5,1305,2014
-1,1,5,1287,2016
-1,1,5,1369,2017
-1,1,5,1393,2018
-1,1,5,1390,2019
-1,1,5,1401,2021
-1,1,5,1404,2022
-1,1,5,1404,2023
-1,1,5,1393,2024
-1,1,5,1354,2026
-1,1,5,1312,2027
-1,1,5,1287,2028
-1,1,5,1280,2029
-1,1,5,1283,2031
-1,1,5,1301,2032
-1,1,5,1333,2033
-1,1,5,1361,2034
-1,1,5,1408,2036
-1,1,5,1422,2037
-1,1,5,1454,2038
-1,1,5,1497,2039
-1,1,6,6349,2000
-1,1,6,6233,2001
-1,1,6,6120,2002
-1,1,6,6044,2003
-1,1,6,6064,2004
-1,1,6,6232,2005
-1,1,6,6503,2006
-1,1,6,6502,2007
-1,1,6,6588,2008
-1,1,6,6225,2009
-1,1,6,5900,2010
-1,1,6,5991,2011
-1,1,6,6160,2012
-1,1,6,6277,2013
-1,1,6,6543,2014
-1,1,6,6654,2016
-1,1,6,6927,2017
-1,1,6,6982,2018
-1,1,6,7053,2019
-1,1,6,7139,2021
-1,1,6,7194,2022
-1,1,6,7288,2023
-1,1,6,7397,2024
-1,1,6,7625,2026
-1,1,6,7742,2027
-1,1,6,7852,2028
-1,1,6,7962,2029
-1,1,6,8150,2031
-1,1,6,8252,2032
-1,1,6,8353,2033
-1,1,6,8455,2034
-1,1,6,8675,2036
-1,1,6,8792,2037
-1,1,6,8926,2038
-1,1,6,9059,2039
-1,1,7,6441,2000
-1,1,7,6375,2001
-1,1,7,6121,2002
-1,1,7,6090,2003
-1,1,7,6151,2004
-1,1,7,6310,2005
-1,1,7,6355,2006
-1,1,7,6469,2007
-1,1,7,6446,2008
-1,1,7,6010,2009
-1,1,7,5852,2010
-1,1,7,5965,2011
-1,1,7,6275,2012
-1,1,7,6399,2013
-1,1,7,6677,2014
-1,1,7,7289,2016
-1,1,7,7058,2017
-1,1,7,7098,2018
-1,1,7,7162,2019
-1,1,7,7302,2021
-1,1,7,7393,2022
-1,1,7,7526,2023
-1,1,7,7663,2024
-1,1,7,7934,2026
-1,1,7,8061,2027
-1,1,7,8192,2028
-1,1,7,8322,2029
-1,1,7,8586,2031
-1,1,7,8733,2032
-1,1,7,8887,2033
-1,1,7,9044,2034
-1,1,7,9359,2036
-1,1,7,9529,2037
