tractcity_2014, element, target_value
3, 'job.home_based_status==0', 121
100, 'job.home_based_status==0', 906
102, 'job.home_based_status==0', 1137
186, 'job.home_based_status==0', 4432
187, 'job.home_based_status==0', 396
189, 'job.home_based_status==0', 57
190, 'job.home_based_status==0', 830
191, 'job.home_based_status==0', 1026
192, 'job.home_based_status==0', 133
193, 'job.home_based_status==0', 1529
194, 'job.home_based_status==0', 558
331, 'job.home_based_status==0', 396
376, 'job.home_based_status==0', 18
377, 'job.home_based_status==0', 581
378, 'job.home_based_status==0', 2024
379, 'job.home_based_status==0', 781
380, 'job.home_based_status==0', 1919
381, 'job.home_based_status==0', 1561
382, 'job.home_based_status==0', 1253
383, 'job.home_based_status==0', 2656
384, 'job.home_based_status==0', 956
386, 'job.home_based_status==0', 931
387, 'job.home_based_status==0', 2654
388, 'job.home_based_status==0', 1795
389, 'job.home_based_status==0', 1721
390, 'job.home_based_status==0', 7975
391, 'job.home_based_status==0', 1367
392, 'job.home_based_status==0', 5016
393, 'job.home_based_status==0', 6768
394, 'job.home_based_status==0', 1722
395, 'job.home_based_status==0', 2332
396, 'job.home_based_status==0', 874
397, 'job.home_based_status==0', 504
398, 'job.home_based_status==0', 1727
399, 'job.home_based_status==0', 933
400, 'job.home_based_status==0', 671
401, 'job.home_based_status==0', 1035
402, 'job.home_based_status==0', 411
403, 'job.home_based_status==0', 888
405, 'job.home_based_status==0', 178
475, 'job.home_based_status==0', 2122
476, 'job.home_based_status==0', 1099
477, 'job.home_based_status==0', 4039
478, 'job.home_based_status==0', 1821
479, 'job.home_based_status==0', 1311
480, 'job.home_based_status==0', 2242
481, 'job.home_based_status==0', 884
482, 'job.home_based_status==0', 1407
483, 'job.home_based_status==0', 931
484, 'job.home_based_status==0', 1160
485, 'job.home_based_status==0', 1726
486, 'job.home_based_status==0', 1276
487, 'job.home_based_status==0', 850
488, 'job.home_based_status==0', 1147
489, 'job.home_based_status==0', 3478
490, 'job.home_based_status==0', 2275
491, 'job.home_based_status==0', 488
492, 'job.home_based_status==0', 129
515, 'job.home_based_status==0', 841
517, 'job.home_based_status==0', 1149
518, 'job.home_based_status==0', 810
519, 'job.home_based_status==0', 1150
