faz_id	fazdistrict_id	large_area_id
8935	5	1
8927	5	1
8926	5	4
8936	5	1
8500	5	2
8406	5	2
8320	5	2
8925	5	4
8937	5	1
8405	5	2
8310	5	2
8910	5	4
7905	4	2
7606	4	2
7805	4	2
8220	4	2
8000	4	2
8906	4	4
8210	4	2
9020	6	18
8125	4	2
8126	4	2
8905	5	4
7806	4	2
7700	4	2
7526	4	3
7340	4	3
7605	4	2
7537	4	2
8115	4	2
7335	4	3
8600	5	4
7425	4	3
7535	4	3
7525	4	3
7436	4	3
9019	6	18
7026	4	3
7205	4	3
7515	4	3
7320	4	3
7206	4	3
7315	4	3
7435	4	3
7316	4	3
7025	4	3
7415	4	3
7100	4	3
7015	4	3
9908	6	17
6410	1	5
6420	1	5
5535	3	7
5600	3	7
5546	3	7
4706	2	7
6605	2	11
6910	2	11
6606	2	11
9909	6	17
9011	6	18
5525	3	7
5515	3	7
6326	1	6
9914	6	18
5545	3	7
6223	1	6
5306	3	7
6325	1	6
9009	6	17
9006	6	17
6225	1	6
9018	6	17
5425	3	7
5305	3	7
5426	2	7
6226	1	6
6126	1	6
6224	1	6
6216	1	6
6316	1	6
6215	1	6
5100	3	7
6213	1	6
9005	6	17
6124	1	6
6125	1	6
6214	1	6
5415	3	7
5205	3	7
9916	6	17
9913	6	18
9915	6	17
4606	2	7
6115	1	6
4820	3	7
9017	6	17
6123	1	6
6114	1	6
4607	2	7
6505	2	11
5020	3	7
6113	1	6
5010	3	7
6020	1	6
4900	3	7
6010	1	6
4400	3	7
9900	6	17
9904	6	17
9902	6	17
4810	3	7
5720	1	6
9901	6	17
5826	1	6
5825	1	6
5925	1	6
9015	6	16
4506	3	7
4605	2	7
9002	6	16
4226	3	7
4505	3	7
4225	3	7
5716	1	6
5916	1	6
4300	2	7
5815	1	6
9004	6	16
5715	1	6
3330	2	10
6506	2	11
5915	1	6
3905	1	9
4130	9	9
6930	9	8
3825	1	8
4120	9	9
3816	1	8
4210	9	10
9016	6	16
4005	1	9
4230	2	10
3815	1	8
3705	9	8
3900	9	9
4110	9	9
3416	9	10
3413	2	10
3706	9	8
3600	9	9
3415	9	10
3320	2	10
3505	9	9
3414	9	10
6900	2	11
2940	8	15
2216	8	15
3046	9	8
2225	8	15
3426	9	10
3427	2	10
3045	9	8
3310	2	10
3030	9	8
3130	9	9
3010	9	8
3020	9	8
3425	2	10
2100	7	12
1606	7	12
2215	8	15
1720	7	12
3120	2	9
1900	7	12
3110	2	9
3200	2	10
1605	7	12
2000	7	12
1820	7	12
1200	7	14
1710	7	12
1810	7	12
900	7	14
806	8	14
1506	7	13
1410	7	12
1505	7	13
1330	7	12
1000	7	14
1320	7	12
1420	7	12
1130	7	14
1116	7	14
1310	7	12
805	8	14
1115	7	14
205	7	13
136	7	13
1120	7	14
705	8	14
120	7	13
325	7	14
135	7	13
706	8	14
206	7	13
2910	8	14
315	7	14
2935	8	13
605	7	14
606	7	14
506	8	14
110	8	13
505	8	14
2936	8	13
405	8	14
2926	8	14
2925	8	14
2927	8	14
