faz_id	1980	1990	2000	2010
110	1194	1124	1078	946
120	993	1261	1328	1180
135	822	730	736	845
136	1393	1625	2138	1791
205	1488	1889	2762	2826
206	2561	2863	2745	2985
315	1382	1389	1715	1768
325	1218	2714	4072	4919
405	776	687	713	831
505	146	191	204	614
506	99	126	136	450
605	312	398	523	656
606	333	447	1095	1556
705	120	91	126	110
706	174	180	228	170
805	101	65	184	256
806	124	99	147	1029
900	794	1158	1225	1481
1000	293	220	175	298
1115	323	244	618	755
1116	869	1612	1430	1410
1120	815	2011	3420	4080
1130	188	136	546	543
1200	497	975	1016	1384
1310	1027	1372	1419	1563
1320	1168	1115	1085	1237
1330	948	891	972	1120
1410	1029	2596	2430	2217
1420	1019	1173	1219	1781
1505	1809	2699	3046	2873
1506	1295	2521	3108	3093
1605	2508	3198	3345	3529
1606	743	1355	1473	1639
1710	2114	2386	2531	2571
1720	2330	2297	2217	2188
1810	1354	1134	1191	1581
1820	3709	3458	3791	4018
1900	72	5	35	242
2000	381	1279	1452	1651
2100	166	377	884	984
2215	502	663	1161	1106
2216	252	192	258	157
2225	488	566	570	551
2910	36	14	7	0
2925	80	21	43	27
2926	121	78	138	107
2927	82	102	94	108
2935	2307	1183	1258	1441
2936	65	51	177	614
2940	83	18	61	39
3010	1174	3159	5049	4586
3020	1643	3416	4231	4705
3030	221	534	782	1094
3045	1170	3425	3860	3642
3046	2133	4355	4641	4570
3110	190	546	723	766
3120	1781	2595	3230	3413
3130	2077	2986	3375	3417
3200	655	780	1035	913
3310	50	22	35	7
3320	26	10	400	544
3330	65	17	17	10
3413	106	28	28	17
3414	1358	1918	2427	2460
3415	230	613	1295	1834
3416	549	1901	2240	2386
3425	38	350	620	1222
3426	459	422	711	366
3427	133	398	583	688
3505	2135	6409	7925	8856
3600	852	2000	3092	3386
3705	4533	5433	5646	5539
3706	708	935	1254	1245
3815	1895	2434	2665	2691
3816	1562	1887	2240	2147
3825	1356	1846	2116	2170
3900	1222	1544	1690	1573
3905	651	1429	1389	1279
4005	523	674	793	926
4110	1488	2777	3193	3142
4120	1449	2359	3096	3032
4130	1602	2155	2960	4555
4210	652	1208	1603	1705
4225	7	100	1186	1971
4226	331	587	988	1097
4230	73	0	33	27
4300	679	1365	1964	1949
4400	1393	1442	1697	2236
4505	61	97	128	152
4506	768	1744	1905	1814
4605	31	664	1832	3249
4606	48	13	323	441
4607	32	17	38	1074
4706	26	6	0	127
4810	907	1225	1426	1535
4820	658	1288	1233	1448
4900	451	570	1517	4549
5010	2688	3694	4343	4271
5020	2850	3169	3368	3629
5100	83	8	3	10
5205	1854	3164	3284	3382
5305	2194	3211	4020	4389
5306	1700	3312	4228	4385
5415	583	1404	1787	2205
5425	1599	4175	6656	7635
5426	52	395	892	1959
5515	864	2083	2326	2610
5525	397	793	1399	1962
5535	570	1367	2139	2393
5545	459	416	457	460
5546	87	772	1133	1426
5600	597	1217	1877	1894
5715	695	829	891	907
5716	1693	2720	3012	3139
5720	4013	5194	6014	6471
5815	598	631	653	564
5825	250	486	662	626
5826	469	457	893	820
5915	1483	1235	1159	1251
5916	2549	2614	2351	3127
5925	2987	3034	3064	3712
6010	3398	3679	4479	6089
6020	3069	3592	6792	10191
6113	15075	14770	18060	19156
6114	5274	6065	6930	7761
6115	4346	4712	4982	4794
6123	4316	4879	5829	9136
6124	6901	7637	8426	8616
6125	2665	3088	3282	3459
6126	626	639	753	661
6213	3817	4630	5417	6055
6214	419	419	204	179
6215	5688	6445	7409	8159
6216	1000	1297	1295	1384
6223	2931	3897	4472	5341
6224	2698	3241	3617	4303
6225	3034	4397	5120	5762
6226	1820	2183	2489	2319
6316	5025	6332	6754	7850
6325	2077	2936	3516	3619
6326	2184	3314	4399	4590
6410	1891	3051	3219	3521
6420	1936	2495	2671	2860
6505	79	24	73	352
6506	257	486	703	737
6605	71	80	71	103
6606	65	50	66	74
6900	98	175	273	211
6910	52	8	24	1
6930	301	188	235	219
7015	1136	2064	2225	2211
7025	2258	3088	3391	3424
7026	171	215	253	220
7100	1218	2578	2746	2899
7205	749	1149	1691	1655
7206	3015	3674	3804	4043
7315	223	658	812	629
7316	137	141	521	551
7320	117	1534	2684	3296
7335	256	1280	2588	4081
7340	134	529	987	1222
7415	19	9	438	869
7425	36	24	66	427
7435	37	7	36	18
7436	31	43	68	32
7515	49	355	405	648
7525	239	485	1308	1454
7526	103	447	1641	2082
7535	275	2723	3378	4744
7537	1324	3146	4484	5286
7605	26	25	21	44
7606	22	11	17	74
7700	608	863	1198	1069
7805	226	183	283	378
7806	76	33	21	22
7905	288	638	999	997
8000	274	486	753	1023
8115	783	3546	5958	6469
8125	1594	1924	1900	2035
8126	822	1215	1554	1824
8210	1548	1769	1993	2169
8220	2186	2499	3031	3523
8310	1136	1922	2699	2627
8320	68	95	202	211
8405	20	30	75	62
8406	4	1	0	0
8500	484	633	1053	1648
8600	394	612	1184	1368
8905	44	16	90	80
8906	77	35	35	49
8910	168	162	179	179
8925	128	123	198	484
8926	105	35	101	72
8927	5	4	17	51
8935	197	245	519	726
8936	145	152	240	393
8937	58	36	85	110
9002	1340	1773	2505	2794
9004	117	38	43	59
9005	32	2	7	0
9006	57	16	5	24
9009	32	59	44	83
9011	499	802	955	941
9015	119	91	177	91
9016	42	9	54	76
9017	63	79	64	107
9018	150	1433	2272	2620
9019	134	59	78	86
9020	115	177	352	375
9900	818	1004	1238	1281
9901	708	476	877	628
9902	2768	2982	3279	2735
9904	2043	2018	1776	1861
9908	481	464	660	672
9909	68	19	21	101
9913	463	721	961	1144
9914	188	91	91	194
9915	69	477	926	959
9916	216	262	269	306
