faz_id	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
110	4650	4674	4699	4723	4747	4772	4796	4820	4844	4869	4893	4941	4990	5038	5086	5135	5183	5231	5279	5328	5376	5467	5557	5648	5738	5829	5919	6010	6100	6191	6281
120	10825	10870	10914	10959	11003	11048	11093	11137	11182	11226	11271	11354	11436	11519	11602	11685	11767	11850	11933	12015	12098	12270	12442	12615	12787	12959	13131	13303	13476	13648	13820
135	14770	14889	15008	15127	15246	15366	15485	15604	15723	15842	15961	16090	16218	16347	16475	16604	16732	16861	16989	17118	17246	17469	17692	17915	18138	18361	18583	18806	19029	19252	19475
136	11442	11444	11445	11447	11448	11450	11452	11453	11455	11456	11458	11510	11563	11615	11668	11720	11772	11825	11877	11930	11982	12028	12073	12119	12165	12211	12256	12302	12348	12393	12439
205	12866	12844	12822	12799	12777	12755	12733	12711	12688	12666	12644	12616	12587	12559	12530	12502	12473	12445	12416	12388	12359	12422	12484	12547	12609	12672	12735	12797	12860	12922	12985
206	12784	12918	13051	13185	13319	13453	13586	13720	13854	13987	14121	14275	14429	14583	14737	14891	15044	15198	15352	15506	15660	15765	15871	15976	16082	16187	16292	16398	16503	16609	16714
315	13616	13681	13746	13810	13875	13940	14005	14070	14134	14199	14264	14351	14438	14525	14612	14699	14785	14872	14959	15046	15133	15323	15512	15702	15892	16082	16271	16461	16651	16840	17030
325	20513	20619	20724	20830	20935	21041	21147	21252	21358	21463	21569	21642	21714	21787	21859	21932	22004	22077	22149	22222	22294	22455	22617	22778	22940	23101	23262	23424	23585	23747	23908
405	21002	21089	21175	21262	21348	21435	21522	21608	21695	21781	21868	21977	22085	22194	22302	22411	22519	22628	22736	22845	22953	23099	23246	23392	23538	23685	23831	23977	24123	24270	24416
505	42983	43680	44376	45073	45769	46466	47162	47859	48555	49252	49948	50184	50420	50656	50892	51129	51365	51601	51837	52073	52309	52674	53038	53403	53767	54132	54497	54861	55226	55590	55955
506	23207	24002	24798	25593	26389	27184	27979	28775	29570	30366	31161	31775	32389	33003	33617	34231	34844	35458	36072	36686	37300	37861	38422	38983	39544	40106	40667	41228	41789	42350	42911
605	22585	23100	23615	24131	24646	25161	25676	26191	26707	27222	27737	28106	28476	28845	29214	29584	29953	30322	30691	31061	31430	31876	32321	32767	33212	33658	34103	34549	34994	35440	35885
606	20562	21062	21562	22062	22562	23063	23563	24063	24563	25063	25563	25832	26101	26370	26639	26908	27177	27446	27715	27984	28253	28585	28916	29248	29579	29911	30242	30574	30905	31237	31568
705	20488	21195	21902	22610	23317	24024	24731	25438	26146	26853	27560	28121	28683	29244	29806	30367	30928	31490	32051	32613	33174	33655	34136	34616	35097	35578	36059	36540	37020	37501	37982
706	13675	13929	14184	14438	14692	14947	15201	15455	15709	15964	16218	16454	16690	16927	17163	17399	17635	17871	18108	18344	18580	18718	18856	18994	19132	19271	19409	19547	19685	19823	19961
805	21173	21599	22025	22451	22877	23303	23729	24155	24581	25007	25433	25745	26058	26370	26682	26995	27307	27619	27931	28244	28556	28970	29385	29799	30214	30628	31042	31457	31871	32286	32700
806	25186	26138	27089	28041	28993	29945	30896	31848	32800	33751	34703	35385	36067	36748	37430	38112	38794	39476	40157	40839	41521	42149	42776	43404	44031	44659	45286	45914	46541	47169	47796
900	10160	10374	10587	10801	11014	11228	11442	11655	11869	12082	12296	12530	12763	12997	13230	13464	13698	13931	14165	14398	14632	14917	15202	15486	15771	16056	16341	16626	16910	17195	17480
1000	9880	9993	10106	10219	10332	10445	10557	10670	10783	10896	11009	11082	11155	11227	11300	11373	11446	11519	11591	11664	11737	11806	11875	11944	12013	12082	12151	12220	12289	12358	12427
1115	10338	10475	10613	10750	10887	11025	11162	11299	11436	11574	11711	11828	11945	12062	12179	12296	12412	12529	12646	12763	12880	13036	13192	13348	13504	13660	13815	13971	14127	14283	14439
1116	15251	15361	15471	15580	15690	15800	15910	16020	16129	16239	16349	16476	16603	16730	16857	16984	17111	17238	17365	17492	17619	17859	18099	18340	18580	18820	19060	19300	19541	19781	20021
1120	28880	29279	29678	30077	30476	30875	31273	31672	32071	32470	32869	33364	33859	34353	34848	35343	35838	36333	36827	37322	37817	38512	39206	39901	40596	41291	41985	42680	43375	44069	44764
1130	3823	3911	3999	4086	4174	4262	4350	4438	4525	4613	4701	4814	4926	5039	5151	5264	5376	5489	5601	5714	5826	5972	6118	6264	6410	6556	6702	6848	6994	7140	7286
1200	16733	17261	17790	18318	18847	19375	19903	20432	20960	21489	22017	22515	23014	23512	24010	24509	25007	25505	26003	26502	27000	27545	28091	28636	29182	29727	30272	30818	31363	31909	32454
1310	25246	25349	25452	25555	25658	25762	25865	25968	26071	26174	26277	26396	26515	26633	26752	26871	26990	27109	27227	27346	27465	27643	27821	28000	28178	28356	28534	28712	28891	29069	29247
1320	18354	18503	18653	18802	18951	19101	19250	19399	19548	19698	19847	20018	20190	20361	20533	20704	20875	21047	21218	21390	21561	21853	22146	22438	22730	23023	23315	23607	23899	24192	24484
1330	22952	23105	23258	23412	23565	23718	23871	24024	24178	24331	24484	24630	24777	24923	25069	25216	25362	25508	25654	25801	25947	26224	26500	26777	27053	27330	27607	27883	28160	28436	28713
1410	11056	11107	11158	11208	11259	11310	11361	11412	11462	11513	11564	11627	11689	11752	11815	11878	11940	12003	12066	12128	12191	12332	12472	12613	12753	12894	13034	13175	13315	13456	13596
1420	12294	12403	12512	12622	12731	12840	12949	13058	13168	13277	13386	13488	13589	13691	13792	13894	13995	14097	14198	14300	14401	14583	14766	14948	15130	15313	15495	15677	15859	16042	16224
1505	19312	19388	19464	19540	19616	19692	19767	19843	19919	19995	20071	20137	20202	20268	20333	20399	20464	20530	20595	20661	20726	20909	21093	21276	21459	21643	21826	22009	22192	22376	22559
1506	21642	21749	21855	21962	22068	22175	22281	22388	22494	22601	22707	22820	22933	23046	23159	23273	23386	23499	23612	23725	23838	24068	24299	24529	24759	24990	25220	25450	25680	25911	26141
1605	17375	17484	17593	17702	17811	17920	18028	18137	18246	18355	18464	18544	18624	18704	18784	18865	18945	19025	19105	19185	19265	19425	19586	19746	19907	20067	20227	20388	20548	20709	20869
1606	12896	12998	13100	13202	13304	13407	13509	13611	13713	13815	13917	14014	14111	14208	14305	14402	14498	14595	14692	14789	14886	15055	15224	15393	15562	15731	15899	16068	16237	16406	16575
1710	21491	21596	21702	21807	21913	22018	22123	22229	22334	22440	22545	22629	22714	22798	22882	22967	23051	23135	23219	23304	23388	23575	23762	23949	24136	24324	24511	24698	24885	25072	25259
1720	25366	25516	25666	25815	25965	26115	26265	26415	26564	26714	26864	26940	27016	27093	27169	27245	27321	27397	27474	27550	27626	27757	27888	28019	28150	28281	28411	28542	28673	28804	28935
1810	4170	4282	4395	4507	4620	4732	4844	4957	5069	5182	5294	5403	5512	5621	5730	5839	5948	6057	6166	6275	6384	6526	6669	6811	6954	7096	7238	7381	7523	7666	7808
1820	6170	6290	6410	6530	6650	6771	6891	7011	7131	7251	7371	7527	7683	7840	7996	8152	8308	8464	8621	8777	8933	9096	9259	9422	9585	9748	9911	10074	10237	10400	10563
1900	332	353	373	394	414	435	456	476	497	517	538	572	605	639	673	707	740	774	808	841	875	931	987	1042	1098	1154	1210	1266	1321	1377	1433
2000	7847	8052	8257	8461	8666	8871	9076	9281	9485	9690	9895	10116	10336	10557	10777	10998	11218	11439	11659	11880	12100	12363	12626	12888	13151	13414	13677	13940	14202	14465	14728
2100	19161	19363	19565	19766	19968	20170	20372	20574	20775	20977	21179	21395	21610	21826	22042	22258	22473	22689	22905	23120	23336	23652	23967	24283	24598	24914	25230	25545	25861	26176	26492
2215	17921	18106	18290	18475	18659	18844	19029	19213	19398	19582	19767	19909	20051	20194	20336	20478	20620	20762	20905	21047	21189	21363	21537	21711	21885	22060	22234	22408	22582	22756	22930
2216	19499	19635	19772	19908	20045	20181	20317	20454	20590	20727	20863	20995	21127	21259	21391	21523	21654	21786	21918	22050	22182	22297	22411	22526	22640	22755	22869	22984	23098	23213	23327
2225	13655	14005	14356	14706	15056	15407	15757	16107	16457	16808	17158	17507	17856	18205	18554	18903	19251	19600	19949	20298	20647	21022	21397	21771	22146	22521	22896	23271	23645	24020	24395
2910	2609	2665	2722	2778	2835	2891	2947	3004	3060	3117	3173	3240	3307	3373	3440	3507	3574	3641	3707	3774	3841	3867	3892	3918	3943	3969	3995	4020	4046	4071	4097
2925	16627	16742	16856	16971	17086	17201	17315	17430	17545	17659	17774	17847	17919	17992	18064	18137	18209	18282	18354	18427	18499	18594	18688	18783	18877	18972	19067	19161	19256	19350	19445
2926	25989	26295	26600	26906	27211	27517	27823	28128	28434	28739	29045	29301	29556	29812	30068	30324	30579	30835	31091	31346	31602	31843	32084	32325	32566	32807	33048	33289	33530	33771	34012
2927	5845	5963	6081	6199	6317	6435	6552	6670	6788	6906	7024	7167	7311	7454	7597	7741	7884	8027	8170	8314	8457	8662	8866	9071	9275	9480	9684	9889	10093	10298	10502
2935	13855	13730	13604	13479	13354	13229	13103	12978	12853	12727	12602	12555	12507	12460	12412	12365	12317	12270	12222	12175	12127	12206	12285	12364	12443	12522	12601	12680	12759	12838	12917
2936	5032	5304	5576	5848	6120	6393	6665	6937	7209	7481	7753	7918	8083	8248	8413	8578	8743	8908	9073	9238	9403	9566	9728	9891	10053	10216	10378	10541	10703	10866	11028
2940	12362	12482	12603	12723	12843	12964	13084	13204	13324	13445	13565	13725	13884	14044	14203	14363	14522	14682	14841	15001	15160	15414	15667	15921	16174	16428	16681	16935	17188	17442	17695
