faz_id	2000	2010	2020	2030	2040
110	883	865	934	1049	1261
120	3074	3190	3478	3876	4444
135	5104	5184	5555	5945	6585
136	2671	2770	2802	2941	2976
205	2450	2618	2665	2690	2936
206	2434	2580	2926	3304	3598
315	3616	3733	3980	4272	4753
325	3429	3837	4218	4525	4943
405	5853	6906	7531	8221	9029
505	8611	14026	16929	18449	20388
506	4876	7549	10576	13153	15775
605	6223	7599	9583	11117	13073
606	3870	5809	7387	8450	9708
705	4965	7184	9974	12318	14535
706	3853	4609	5669	6688	7431
805	5322	6781	8385	9670	11369
806	5235	8372	11875	14703	17514
900	2337	2845	3570	4375	5395
1000	3271	3616	4153	4527	4916
1115	2812	3154	3629	4047	4635
1116	4228	4665	4997	5374	5874
1120	6688	7287	8570	10120	12351
1130	1458	1327	1573	1884	2302
1200	4541	5422	7318	9192	11402
1310	7560	7896	8440	9014	9812
1320	5549	5753	6340	6989	7889
1330	5950	6471	7188	7902	8855
1410	2046	2192	2394	2598	2867
1420	3039	3220	3438	3637	3988
1505	4407	4868	5146	5364	5778
1506	5374	5591	5983	6368	6803
1605	4235	4406	4652	4801	5077
1606	3892	4078	4393	4668	4978
1710	5694	5959	6368	6707	7299
1720	8258	8238	8367	8527	8813
1810	303	390	483	572	696
1820	150	37	1	1	1
1900	154	130	195	297	461
2000	1277	1524	1916	2347	2897
2100	5632	6188	7067	8010	9089
2215	4691	5589	6211	6698	7352
2216	5297	6757	7495	8197	8899
2225	3998	4941	6417	7936	9677
2910	818	931	1165	1445	1590
2925	4334	5757	6399	6891	7530
2926	7654	8758	10216	11541	12955
2927	1872	2173	2704	3351	4276
2935	3337	2925	2908	3026	3382
2936	695	1683	2722	3420	4147
2940	4520	4704	5308	6050	7169
3010	9542	9639	10386	11114	11918
3020	4812	5057	5388	5668	5962
3030	9110	10476	11715	12714	13462
3045	6073	6516	6808	7082	7094
3046	4513	4679	4828	4945	4941
3110	1959	2483	3157	3704	4145
3120	5569	6027	6731	7437	8315
3130	3422	3609	3950	4228	4514
3200	5945	6742	8268	10123	12193
3310	4491	5823	7023	8288	9836
3320	7619	9701	12127	13967	16372
3330	4368	4643	5089	5485	5977
3413	2299	2663	3209	3735	4140
3414	5582	6154	6372	6821	7344
3415	6012	6612	7688	8588	9624
3416	5511	5880	6364	6981	7776
3425	4158	5269	6995	8480	10130
3426	4127	5441	7254	8942	10921
3427	5269	6890	8627	10040	11382
3505	5695	5863	6369	6886	7325
3600	4149	4421	4633	4911	5188
3705	6159	6366	6627	6676	6617
3706	4792	4869	5103	5106	4870
3815	5231	5487	5285	5094	5172
3816	5737	5927	6116	6272	6449
3825	4405	4522	4686	4672	4491
3900	720	759	885	1042	1269
3905	1723	1625	1679	1730	1739
4005	3545	3573	3784	3954	4141
4110	3740	3925	4257	4611	4891
4120	4225	4312	4546	4772	4943
4130	2909	2944	3065	3200	3342
4210	4596	5590	6759	7808	9127
4225	2953	4267	5071	5244	5452
4226	4608	4888	5664	6504	7406
4230	3320	3355	3595	3869	4006
4300	2478	2492	2796	3068	3414
4400	6739	6971	7392	7339	7433
4505	5118	5509	6079	6504	6381
4506	4499	4541	4857	5173	5580
4605	5353	5955	6809	7148	7693
4606	6540	7576	8685	9381	10238
4607	3124	6586	9234	10426	11731
4706	3554	5453	5663	5988	6352
4810	2588	2583	2672	2782	2847
4820	2066	2095	2227	2397	2637
4900	41	1	1	1	1
5010	3755	3751	3959	4115	4258
5020	6381	6425	6500	6626	6595
5100	2701	2560	2687	2898	2984
5205	2117	2120	2428	2801	3213
5305	6247	6452	6942	7550	7796
5306	5124	5368	5569	5815	5890
5415	3479	3894	4301	4539	4834
5425	7612	7919	8194	8428	8590
5426	3925	6002	6225	6533	6851
5515	6757	6857	7280	7586	7836
5525	3373	3823	4528	5184	5902
5535	5723	5985	6605	6898	7308
5545	3316	3773	4436	5205	5934
5546	4279	4628	5197	5622	6199
5600	3239	3417	3719	4049	4476
5715	6461	6715	6331	6224	6507
5716	5971	5900	6137	6268	6325
5720	10623	10481	10542	10481	10802
5815	1165	1083	1061	1052	1102
5825	335	366	384	398	433
5826	1218	1137	1176	1242	1301
5915	5563	5583	5906	6127	6274
5916	9196	9876	10052	10452	11110
5925	6412	6693	7371	7864	8306
6010	95	1	1	1	1
6020	60	1	1	1	1
6113	618	250	1	1	1
6114	6958	6965	7213	7131	7050
6115	5361	5786	5938	5807	5663
6123	1102	1213	1335	1366	1378
6124	4713	4955	5098	5134	5177
6125	1611	1525	1496	1465	1494
6126	4642	4821	4859	4863	4649
6213	3467	3740	3644	3611	3774
6214	18	13	10	5	1
6215	3528	3459	3861	3991	3963
6216	4853	4609	4608	4531	4379
6223	7144	7174	7509	7755	7947
6224	6504	6574	6323	6298	6318
6225	3649	3562	4509	4439	4499
6226	10219	10038	10177	10365	10757
6316	6384	6732	7100	7370	6938
6325	11634	11445	11476	12105	12404
6326	6003	5910	6291	6761	7212
6410	10510	10828	11010	11129	11111
6420	9682	9536	9791	10047	9842
6505	1851	4245	4842	5387	5942
6506	4422	4719	5147	5750	6613
6605	3225	3995	4982	6160	7126
6606	1668	1870	2184	2568	3098
6900	2383	2582	2709	2917	3149
6910	1219	1621	1964	2199	2417
6930	3958	4141	4490	4805	5151
7015	4391	4299	4600	4850	5117
7025	5083	5203	5422	5467	5625
7026	3422	3596	3710	3867	4038
7100	5103	5439	5930	6231	6789
7205	3610	3593	3805	4064	4431
7206	3168	3243	3421	3616	3915
7315	4516	5465	6569	7506	8564
7316	5725	6447	7454	8411	9870
7320	5276	7245	9027	10101	11491
7335	8400	9742	11275	12772	14628
7340	6180	8422	9755	10627	12067
7415	2046	2987	3937	4629	5420
7425	5732	8782	11406	12900	14321
7435	2490	2866	3275	3484	3867
7436	1836	2054	2510	2951	3511
7515	935	1185	1614	2047	2445
7525	3798	4224	4937	5675	6566
7526	3394	3711	4320	4829	5318
7535	2161	3188	4391	5444	6532
7537	2576	3314	4060	4658	5296
7605	612	594	649	735	884
7606	501	849	1108	1298	1508
7700	2005	2316	2536	2773	3182
7805	4902	6611	8562	9757	10807
7806	1382	1855	2424	2769	3167
7905	4392	5681	7424	9303	11494
8000	3344	4158	4656	5010	5637
8115	4211	5022	5889	6534	7342
8125	4294	4464	4824	5214	5842
8126	3197	3259	3547	3913	4452
8210	1755	1804	1909	1976	2122
8220	3986	4169	4490	4727	5120
8310	7463	8521	9895	11084	12047
8320	3557	4272	5277	6266	7280
8405	3305	4861	7025	8770	10737
8406	501	837	1239	1446	1666
8500	3530	5400	7029	7845	8695
8600	3753	4628	5874	7021	8469
8905	2623	2646	3003	3538	4421
8906	2585	2864	3315	3744	4075
8910	4506	5537	6841	8113	9788
8925	3691	4919	6119	7055	7635
8926	4200	4647	5459	6530	7739
8927	1652	2034	2426	2607	2830
8935	2769	3358	4456	5336	6335
8936	5112	5880	7117	8820	9997
8937	3228	3607	4343	5163	6083
9002	6006	6499	7278	8127	9104
9004	5120	6235	7881	9692	10933
9005	1661	2100	2694	3317	4030
9006	3045	3699	4412	5137	5850
9009	1543	1883	2387	2674	2976
9011	2039	2564	3208	3752	4306
9015	4476	5049	5904	6611	7397
9016	3594	3980	4639	5378	6166
9017	1166	1288	1508	1743	1963
9018	3176	3901	4858	5737	6809
9019	4991	6009	7366	8980	10807
9020	4557	5257	6552	8105	9584
9900	1650	1727	1923	2148	2502
9901	1676	1758	1981	2271	2770
9902	6008	5823	6210	6962	7861
9904	2696	2761	3090	3487	4126
9908	622	696	790	918	1135
9909	1473	1551	1694	2024	2611
9913	1547	1809	2138	2373	2644
9914	5381	6032	7155	8474	9805
9915	4065	4375	4517	4858	5462
9916	3287	3554	4103	4749	5642
