County,Jurisdiction,2010,2013,2025low,2025high,2030low,2030high,2031low,2031high,2035low,2035high,2040low,2040high
King,Bellevue ,122352,126475,NA,NA,NA,NA,148113,150825,NA,NA,161639,165774
King,Seattle,608656,626610,NA,NA,NA,NA,716784,728165,NA,NA,775774,793366
King,Auburn,45234,46520,NA,NA,NA,NA,58814,60244,NA,NA,62582,64408
King,Bothell,17090,17501,NA,NA,NA,NA,21966,22479,NA,NA,23364,24024
King,Burien ,33362,33380,NA,NA,NA,NA,38807,39380,NA,NA,40917,41712
King,Federal Way ,89306,89797,NA,NA,NA,NA,103361,104840,NA,NA,107211,109095
King,Kent ,92699,93851,NA,NA,NA,NA,105463,106806,NA,NA,110004,111826
King,Kirkland,48949,49613,NA,NA,NA,NA,57387,58275,NA,NA,60102,61275
King,Redmond ,54060,55402,NA,NA,NA,NA,76171,78499,NA,NA,82426,85412
King,Renton,67448,70627,NA,NA,NA,NA,86293,88277,NA,NA,93353,96080
King,SeaTac ,26945,27254,NA,NA,NA,NA,40157,41548,NA,NA,43656,45415
King,Tukwila,19091,19304,NA,NA,NA,NA,28971,30011,NA,NA,31610,32927
King,Des Moines ,29672,29636,NA,NA,NA,NA,33982,34435,NA,NA,37292,38094
King,Issaquah,30415,32101,NA,NA,NA,NA,33870,34233,NA,NA,40095,41114
King,Kenmore ,20460,21108,NA,NA,NA,NA,26769,27433,NA,NA,31089,32208
King,Maple Valley,20702,21694,NA,NA,NA,NA,22337,22509,NA,NA,24509,24910
King,Mercer Island ,22699,22720,NA,NA,NA,NA,24638,24842,NA,NA,26303,26682
King,Sammamish ,46220,47329,NA,NA,NA,NA,48512,48753,NA,NA,53506,54273
King,Shoreline ,53046,53648,NA,NA,NA,NA,59512,60192,NA,NA,63590,64700
King,Woodinville ,10938,11061,NA,NA,NA,NA,15907,16430,NA,NA,19351,20237
King,Algona ,3014,3032,NA,NA,NA,NA,3346,3381,NA,NA,3420,3463
King,Beaux Arts ,299,305,NA,NA,NA,NA,310,312,NA,NA,312,313
King,Black Diamond,4151,4168,NA,NA,NA,NA,7758,8137,NA,NA,8248,8679
King,Carnation,1777,1808,NA,NA,NA,NA,2236,2284,NA,NA,2312,2368
King,Clyde Hill ,2984,2992,NA,NA,NA,NA,2991,2992,NA,NA,2991,2992
King,Covington ,17565,18160,NA,NA,NA,NA,19752,19982,NA,NA,20078,20343
King,Duvall,6670,7020,NA,NA,NA,NA,8254,8421,NA,NA,8611,8815
King,Enumclaw,10676,10675,NA,NA,NA,NA,11869,11994,NA,NA,12103,12253
King,Hunts Point ,394,395,NA,NA,NA,NA,419,422,NA,NA,419,421
King,Lake Forest Park ,12559,12690,NA,NA,NA,NA,13027,13076,NA,NA,13069,13122
King,Medina ,2969,3002,NA,NA,NA,NA,3001,3004,NA,NA,2852,3152
King,Milton ,831,838,NA,NA,NA,NA,838,838,NA,NA,796,880
