"Jurisdiction"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"	"2025"	"2026"	"2027"	"2028"	"2029"	"2030"	"2031"	"2032"	"2033"	"2034"	"2035"	"2036"	"2037"	"2038"	"2039"	"2040"
"Bellevue "	122352	123728	125103	126475	127843	129208	130569	131926	133281	134632	135981	137328	138672	140015	141356	142696	144034	145372	146709	148045	149382	150718	152055	153392	154729	156067	157405	158742	160080	161418	162757
"Seattle"	608656	614663	620653	626610	632519	638380	644197	649971	655705	661402	667066	672698	678302	683880	689434	694969	700486	705989	711479	716961	722436	727907	733377	738846	744315	749783	755250	760718	766184	771651	777118
"Auburn"	45234	45642	46066	46520	47017	47557	48135	48748	49392	50063	50757	51471	52200	52941	53689	54442	55195	55945	56686	57417	58133	58829	59504	60159	60795	61417	62026	62625	63216	63803	64386
"Bothell"	17090	17218	17353	17501	17668	17853	18054	18271	18502	18744	18996	19257	19525	19799	20076	20355	20635	20914	21190	21462	21728	21986	22235	22477	22711	22939	23162	23380	23596	23810	24023
"Burien "	33362	33346	33347	33380	33458	33581	33746	33949	34186	34454	34749	35069	35408	35765	36135	36515	36902	37291	37680	38065	38442	38808	39160	39499	39827	40144	40454	40758	41056	41351	41645
"Federal Way "	89306	89423	89575	89797	90117	90533	91037	91620	92275	92992	93763	94579	95432	96313	97214	98127	99043	99952	100848	101721	102563	103365	104121	104835	105510	106154	106771	107367	107946	108515	109078
"Kent "	92699	93065	93444	93851	94296	94779	95297	95849	96430	97039	97672	98327	99002	99694	100399	101116	101841	102572	103307	104041	104774	105502	106223	106937	107645	108348	109047	109743	110436	111128	111818
"Kirkland"	48949	49155	49372	49613	49887	50193	50529	50893	51282	51692	52122	52569	53030	53503	53985	54473	54966	55459	55951	56438	56919	57391	57851	58301	58741	59174	59600	60020	60437	60851	61263
"Redmond "	54060	54451	54885	55402	56037	56787	57643	58595	59631	60742	61918	63149	64424	65732	67065	68411	69760	71102	72427	73725	74985	76197	77354	78460	79520	80542	81531	82494	83439	84370	85295
"Renton"	67448	68514	69576	70627	71664	72686	73695	74692	75676	76650	77613	78568	79514	80453	81385	82311	83233	84150	85065	85977	86889	87799	88710	89621	90533	91445	92357	93269	94182	95094	96007
"SeaTac "	26945	26999	27089	27254	27522	27892	28354	28900	29521	30206	30948	31736	32562	33417	34291	35175	36060	36936	37796	38629	39426	40178	40879	41531	42142	42716	43261	43781	44284	44774	45259
"Tukwila"	19091	19125	19187	19304	19499	19771	20113	20517	20978	21488	22041	22629	23246	23886	24540	25203	25867	26526	27173	27801	28403	28972	29504	30001	30467	30907	31325	31725	32112	32490	32864
"Des Moines "	29672	29642	29626	29636	29683	29768	29887	30040	30224	30436	30675	30937	31222	31527	31849	32186	32537	32899	33269	33646	34027	34411	34795	35178	35562	35946	36329	36713	37096	37480	37863
"Issaquah"	30415	31026	31600	32101	32501	32804	33022	33167	33251	33285	33282	33254	33213	33171	33140	33131	33157	33230	33362	33565	33851	34231	34714	35292	35954	36686	37478	38317	39192	40091	41001
"Kenmore "	20460	20668	20881	21108	21352	21615	21894	22189	22500	22824	23161	23510	23870	24240	24619	25005	25398	25798	26201	26609	27019	27432	27844	28258	28672	29087	29502	29917	30333	30748	31164
"Maple Valley"	20702	21059	21397	21694	21936	22124	22264	22362	22422	22452	22457	22443	22415	22379	22342	22308	22283	22274	22286	22325	22397	22507	22659	22851	23077	23333	23613	23913	24227	24552	24881
"Mercer Island "	22699	22699	22704	22720	22751	22796	22855	22928	23013	23109	23216	23332	23457	23590	23730	23876	24028	24183	24343	24504	24668	24832	24997	25161	25326	25490	25655	25819	25984	26148	26313
"Sammamish "	46220	46624	47003	47329	47583	47769	47895	47970	48004	48004	47982	47944	47901	47861	47834	47828	47853	47917	48030	48201	48438	48751	49145	49615	50150	50742	51381	52058	52763	53486	54220
"Shoreline "	53046	53237	53436	53648	53880	54132	54403	54691	54996	55316	55650	55997	56355	56725	57103	57490	57883	58283	58687	59095	59505	59916	60328	60739	61150	61562	61973	62384	62796	63207	63618
"Woodinville "	10938	10964	11001	11061	11152	11275	11428	11609	11817	12048	12302	12577	12870	13180	13505	13844	14193	14552	14918	15290	15666	16043	16421	16799	17177	17555	17932	18310	18688	19066	19444
"Algona "	3014	3019	3025	3032	3041	3052	3065	3080	3096	3113	3131	3150	3170	3190	3211	3231	3252	3272	3292	3311	3329	3346	3362	3377	3391	3404	3416	3428	3440	3451	3462
"Beaux Arts "	299	301	303	305	307	308	309	310	311	312	312	312	313	313	313	313	313	312	312	312	312	312	312	312	312	312	312	312	312	313	313
"Black Diamond"	4151	4140	4141	4168	4230	4327	4454	4609	4789	4989	5207	5438	5680	5929	6182	6435	6684	6927	7160	7379	7581	7763	7922	8060	8179	8283	8373	8452	8524	8590	8654
"Carnation"	1777	1786	1796	1808	1822	1839	1859	1880	1903	1927	1952	1979	2006	2033	2061	2089	2116	2142	2168	2192	2215	2236	2256	2273	2289	2304	2318	2330	2343	2354	2366
"Clyde Hill "	2984	2987	2990	2992	2994	2996	2997	2998	2998	2999	2999	2999	2998	2998	2997	2996	2996	2995	2994	2993	2993	2992	2992	2991	2991	2991	2991	2991	2991	2991	2991
"Covington "	17565	17770	17970	18160	18336	18499	18648	18785	18911	19026	19131	19227	19315	19396	19470	19538	19602	19661	19718	19772	19824	19875	19927	19979	20030	20082	20134	20185	20237	20289	20341
"Duvall"	6670	6789	6907	7020	7127	7229	7324	7415	7501	7582	7658	7731	7801	7867	7931	7992	8051	8108	8164	8218	8272	8326	8379	8433	8486	8540	8593	8647	8700	8753	8807
"Enumclaw"	10676	10670	10668	10675	10693	10723	10763	10812	10869	10934	11004	11080	11159	11241	11325	11410	11494	11576	11656	11733	11804	11870	11929	11982	12030	12073	12113	12149	12183	12215	12247
"Hunts Point "	394	394	395	395	396	397	398	399	400	402	403	405	406	408	410	411	413	414	416	417	418	419	420	420	421	421	421	421	421	421	421
"Lake Forest Park "	12559	12604	12648	12690	12728	12764	12796	12825	12851	12875	12897	12917	12934	12950	12964	12977	12989	13000	13010	13020	13029	13038	13047	13056	13065	13074	13083	13091	13100	13109	13118
"Medina "	2969	2981	2992	3002	3011	3019	3026	3032	3037	3041	3043	3045	3045	3045	3043	3040	3036	3031	3025	3018	3010	3001	2991	2980	2968	2956	2942	2929	2915	2901	2887
"Milton "	831	834	836	838	839	840	841	841	841	840	839	839	838	837	836	835	835	835	835	835	836	838	840	843	846	850	854	858	863	867	872
"Newcastle "	10380	10464	10546	10627	10705	10779	10851	10920	10987	11051	11113	11174	11232	11289	11344	11399	11452	11504	11556	11607	11658	11708	11759	11810	11860	11911	11961	12012	12063	12113	12164
"Normandy Park "	6336	6339	6343	6347	6352	6357	6364	6371	6378	6385	6393	6401	6410	6418	6426	6434	6442	6449	6456	6462	6468	6473	6477	6481	6484	6486	6488	6490	6491	6492	6493
"North Bend"	4855	4925	4993	5056	5111	5160	5201	5237	5267	5293	5313	5331	5344	5356	5365	5372	5379	5385	5391	5398	5407	5417	5429	5444	5461	5479	5498	5519	5540	5562	5584
"Pacific "	6513	6578	6640	6693	6735	6767	6789	6802	6808	6808	6802	6792	6779	6764	6748	6732	6717	6705	6696	6692	6694	6702	6717	6740	6769	6803	6841	6883	6927	6973	7020
"Skykomish"	198	200	202	204	206	207	208	209	210	211	212	212	212	213	213	213	213	213	213	213	213	213	213	213	213	213	213	214	214	214	214
"Snoqualmie"	10638	10969	11286	11575	11824	12033	12205	12344	12453	12536	12594	12632	12653	12660	12656	12643	12627	12609	12593	12582	12579	12587	12609	12645	12691	12747	12812	12883	12958	13037	13118
"Yarrow Point "	1001	1002	1003	1004	1005	1006	1008	1009	1010	1011	1012	1013	1014	1014	1014	1014	1013	1012	1011	1009	1006	1003	999	995	990	985	980	974	968	962	955
"Auburn PAA"	17821	17934	18059	18206	18385	18595	18832	19092	19370	19664	19970	20283	20600	20917	21230	21536	21830	22108	22368	22604	22814	22993	23139	23254	23343	23408	23455	23486	23505	23517	23525
"Bear Creek UPD"	7572	7910	8231	8519	8761	8957	9111	9225	9304	9349	9366	9356	9324	9272	9204	9124	9034	8939	8841	8743	8650	8564	8488	8421	8363	8311	8266	8226	8189	8154	8121
"Bellevue PAA"	5549	5601	5651	5699	5743	5784	5821	5855	5885	5913	5938	5960	5981	5999	6015	6030	6042	6054	6065	6074	6083	6091	6099	6107	6114	6121	6128	6135	6141	6148	6154
"Black Diamond PAA"	316	313	311	311	313	317	322	330	339	349	360	372	385	397	410	423	436	448	459	469	478	486	492	497	500	502	504	504	504	504	504
"Bothell PAA"	6339	6398	6461	6531	6612	6703	6802	6909	7022	7139	7260	7383	7507	7630	7751	7869	7983	8090	8191	8283	8365	8436	8495	8543	8581	8611	8634	8652	8665	8676	8685
"Covington PAA"	0	0	0	0	0	1	1	1	2	3	3	4	5	6	6	7	8	9	9	10	11	11	11	12	12	12	12	12	12	12	12
"Federal Way PAA"	20925	21105	21290	21482	21686	21899	22122	22351	22584	22821	23058	23295	23530	23760	23983	24199	24404	24598	24778	24943	25091	25219	25327	25416	25489	25548	25596	25634	25665	25691	25716
"Issaquah PAA"	10923	11003	11080	11148	11205	11250	11285	11311	11328	11337	11339	11335	11326	11312	11296	11277	11256	11235	11213	11193	11175	11160	11148	11140	11134	11131	11130	11131	11133	11136	11139
"Kent PAA"	26358	26632	26900	27154	27390	27606	27805	27987	28153	28303	28440	28563	28674	28775	28864	28945	29017	29082	29141	29194	29243	29288	29331	29372	29410	29447	29483	29518	29551	29584	29617
"Kirkland PAA"	31654	31858	32061	32265	32468	32671	32872	33070	33266	33458	33645	33828	34005	34175	34337	34492	34639	34775	34902	35018	35123	35215	35295	35363	35421	35471	35514	35550	35583	35612	35641
"Maple Valley PAA "	1984	1963	1950	1952	1976	2022	2087	2169	2266	2375	2495	2622	2755	2891	3029	3165	3298	3426	3546	3656	3753	3836	3903	3955	3994	4022	4040	4051	4056	4058	4058
"Milton PAA"	1069	1077	1087	1100	1117	1138	1162	1189	1219	1251	1284	1318	1354	1389	1424	1459	1492	1524	1554	1581	1605	1625	1642	1655	1665	1673	1678	1682	1684	1686	1687
"Newcastle PAA"	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"North Highline"	32049	32402	32746	33072	33373	33649	33900	34129	34337	34525	34694	34846	34982	35104	35212	35309	35395	35472	35542	35605	35663	35718	35770	35820	35869	35916	35962	36007	36051	36094	36138
"Pacific PAA"	738	757	777	795	812	829	844	858	872	884	896	906	916	925	934	942	949	955	961	966	971	975	979	982	986	988	991	993	995	997	999
"Redmond PAA"	2971	3004	3039	3080	3128	3184	3245	3312	3384	3459	3536	3615	3695	3775	3853	3930	4004	4074	4139	4198	4251	4297	4334	4364	4388	4405	4419	4428	4435	4439	4443
"Renton PAA"	69784	70302	70822	71346	71875	72407	72940	73472	73999	74520	75031	75531	76016	76485	76935	77363	77768	78145	78493	78810	79093	79339	79547	79721	79864	79981	80076	80154	80219	80275	80327
"Sammamish PAA"	812	858	903	946	987	1027	1064	1099	1132	1163	1192	1219	1245	1269	1291	1311	1330	1347	1363	1378	1391	1402	1413	1422	1430	1437	1444	1450	1456	1461	1466
"Seattle PAA"	203	204	205	206	207	208	209	211	212	213	214	215	217	218	219	220	221	222	223	224	224	225	226	226	226	226	227	227	227	227	227
"Tukwila PAA"	45	43	43	47	55	68	85	106	129	156	184	214	246	278	310	341	372	401	429	454	476	495	511	522	531	538	542	544	545	545	545
"UU"	9380	9523	9668	9817	9970	10127	10288	10450	10614	10777	10940	11100	11258	11411	11559	11701	11836	11963	12080	12187	12283	12367	12438	12497	12546	12585	12618	12644	12666	12685	12703
"Rural "	121597	123135	124619	125996	127222	128299	129241	130058	130765	131373	131895	132345	132734	133075	133381	133665	133939	134215	134507	134827	135188	135602	136079	136615	137201	137832	138499	139196	139915	140648	141389
"Bremerton"	37417	37348	37330	37414	37642	38015	38525	39164	39924	40796	41773	42846	44008	45249	46563	47940	49373	50858	52392	53969	55588	57244	58932	60651	62395	64162	65947	67747	69559	71377	73199
"Silverdale"	19251	19383	19541	19751	20035	20390	20811	21292	21824	22403	23021	23671	24348	25045	25754	26471	27188	27905	28623	29340	30057	30775	31492	32209	32927	33644	34361	35079	35796	36514	37231
"Bainbridge Island"	23025	23058	23108	23190	23318	23491	23708	23964	24258	24587	24947	25336	25751	26190	26648	27124	27616	28120	28638	29167	29707	30257	30816	31382	31955	32535	33119	33706	34297	34890	35484
"Port Orchard"	8552	8558	8572	8604	8660	8739	8839	8959	9096	9248	9413	9589	9773	9964	10159	10356	10554	10751	10949	11146	11344	11542	11739	11937	12134	12332	12530	12727	12925	13122	13320
"Poulsbo"	8471	8594	8716	8834	8948	9058	9166	9272	9378	9485	9593	9703	9818	9938	10063	10196	10336	10485	10640	10801	10969	11142	11320	11502	11688	11878	12070	12264	12460	12657	12854
"Bremerton East UGA"	4489	4448	4419	4414	4441	4500	4585	4693	4820	4961	5112	5268	5426	5582	5731	5868	5991	6100	6196	6279	6351	6413	6466	6511	6548	6579	6606	6628	6647	6664	6680
"Bremerton West UGA"	4417	4589	4761	4931	5100	5266	5430	5591	5748	5902	6052	6197	6338	6473	6602	6726	6843	6955	7060	7161	7257	7349	7437	7521	7603	7682	7759	7834	7908	7981	8054
"Central Kitsap UGA"	24230	24295	24383	24513	24704	24951	25247	25583	25951	26343	26751	27166	27580	27985	28372	28734	29064	29362	29631	29873	30090	30284	30458	30614	30754	30881	30996	31102	31201	31296	31389
"Gorst UGA"	222	224	227	231	238	247	258	271	285	300	316	332	348	364	379	393	406	417	428	437	445	452	459	465	470	475	479	483	486	489	493
"Kingston UGA"	2201	2212	2231	2264	2318	2391	2481	2585	2700	2823	2951	3083	3214	3342	3465	3579	3683	3776	3860	3934	4001	4059	4112	4158	4199	4235	4268	4298	4325	4351	4376
"Port Orchard UGA"	18213	18177	18159	18175	18239	18350	18499	18682	18892	19122	19367	19619	19873	20123	20361	20582	20781	20958	21115	21252	21372	21477	21567	21645	21711	21769	21818	21861	21899	21935	21968
"Poulsbo PUTA"	1231	1228	1234	1262	1318	1401	1508	1634	1775	1929	2091	2257	2424	2587	2743	2889	3021	3138	3244	3337	3420	3493	3557	3614	3663	3707	3746	3781	3813	3843	3872
"SKIA"	260	263	267	271	276	283	290	297	306	314	323	332	341	350	358	365	372	379	385	390	394	399	403	406	409	412	415	417	419	422	424
"ULID6"	2612	2571	2587	2718	3007	3446	4015	4691	5456	6286	7162	8063	8967	9853	10701	11490	12202	12839	13406	13909	14353	14743	15085	15384	15646	15875	16077	16258	16423	16577	16726
"Rural"	96542	96817	97107	97428	97792	98197	98641	99119	99628	100164	100722	101300	101893	102498	103110	103727	104344	104961	105578	106195	106813	107430	108048	108665	109283	109900	110518	111135	111753	112371	112988
"Tacoma"	198379	198766	199328	200239	201639	203528	205873	208639	211793	215301	219128	223241	227605	232187	236952	241867	246897	252009	257168	262341	267493	272597	277653	282664	287638	292578	297491	302383	307258	312122	316981
